cohort	axis	observed_auc	perm_null_p2.5	perm_null_p97.5	perm_p_value	boot_neg_p2.5	boot_neg_p97.5
GSE322563 HM450	V1 final_score	0.8214948307502186	0.1658291929446838	0.8166250222875169	0.022267977732022267	0.8212591479490675	0.8217265426261484
GSE322563 HM450	V2.5 diff	0.9898560198443352	0.3380270228732004	0.802043449304484	3.999996000004e-06	0.9897941069680006	0.9899238052157152
GSE322563 HM450	Δβ-only	0.9740153279950675	0.1811024899155278	0.8227402471280143	8.5999914000086e-05	0.9739199139327126	0.9741295340415674
GSE322563 native v2	V1 final_score	0.9334775884259535	0.20627702988411928	0.8226177603107967	0.001334998665001335	0.9333557806712597	0.9335958548865743
GSE322563 native v2	V2.5 diff	0.9863876484256843	0.3128982161257515	0.8165116760294016	1.4999985000015e-05	0.9863335400045316	0.9864457766941631
GSE322563 native v2	Δβ-only	0.9606121321416975	0.17661534214930516	0.822641879394754	0.000307999692000308	0.9605245568963767	0.9607169034005802
GSE77348	V1 final_score	0.9675929996279634	0.2608115989495281	0.8225919246817276	0.000158999841000159	0.9674773394398333	0.9677041296056301
GSE77348	V2.5 diff	0.9824831862077574	0.17600018657755687	0.8227384014867144	2.7999972000028e-05	0.9824004679204053	0.9825696517062339
GSE77348	Δβ-only	0.9721857941101	0.17701993136004077	0.8227381777726175	0.000105999894000106	0.9720812636982938	0.9722936243048365
