cohort	tier	n_pos	n_neg	delta_beta_only_auc
GSE322563 HM450	validated	3	2979994	0.9740
GSE322563 HM450	narrow	28	2979969	0.9120
GSE322563 HM450	wide	142	2979855	0.8437
GSE322563 native v2	validated	3	5224079	0.9606
GSE322563 native v2	narrow	28	5224054	0.9560
GSE322563 native v2	wide	142	5223940	0.8652
GSE77348	validated	3	2979994	0.9722
GSE77348	narrow	28	2979969	0.9643
GSE77348	wide	142	2979855	0.9096
GSE69914	validated	3	2979994	0.5913
GSE69914	narrow	28	2979969	0.4766
GSE69914	wide	142	2979855	0.4350
