cohort	axis	subset	auc	tb20	tb100	tb500	tb1000	p100_obs	p100_min	p100_max
GSE322563 HM450	limma-eBayes	wg	0.958753	33	91	71	37	0.0000	0.0000	0.0000
GSE322563 HM450	V2.5-diff (shipped)	wg	0.988967	1127	1127	1127	1127	0.0000	0.0000	0.0000
GSE322563 HM450	V2.5-sigmoid σ=0.0707	wg	0.988431	1	1	—	1		0.0000	0.0000
GSE322563 native v2	limma-eBayes	wg	0.990953	68	39	95	28	0.0000	0.0000	0.0000
GSE322563 native v2	V2.5-diff (shipped)	wg	0.99799	421	421	13	1	0.0000	0.0000	0.0000
GSE322563 native v2	V2.5-sigmoid σ=0.0707	wg	0.997896	1	1	—	1		0.0000	0.0000
GSE77348	limma-eBayes	wg	0.962014	33	115	57	43	0.0000	0.0000	0.0000
GSE77348	V2.5-diff (shipped)	wg	0.982143	1493	1493	1493	1493	0.0000	0.0000	0.0000
GSE77348	V2.5-sigmoid σ=0.0707	wg	0.981333	1	1	—	1		0.0000	0.0000
GSE69914 (tissue)	limma-eBayes	wg	0.572919	54	57	71	51	0.0000	0.0000	0.0000
GSE69914 (tissue)	V2.5-diff (shipped)	wg	0.777828	1	1	4	4	0.0000	0.0000	0.0000
GSE69914 (tissue)	V2.5-sigmoid σ=0.0707	wg	0.86235	5	6	—	4		0.0000	0.0000
